State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Karnataka,29.66,Ktm,250 Duke,162227.0,2020,690.0,Hybrid,76.29,Second,2024.0,Active,Individual,133472.89,Metro
Gujarat,20.27,Yamaha,R15 V4,280899.0,2021,308.0,Electric,88.68,Second,2022.0,Not Available,Dealer,118779.67,Tier 2
Maharashtra,21.05,Ktm,250 Duke,310277.0,2022,417.0,Hybrid,69.05,Second,2022.0,Expired,Dealer,133472.89,Metro
Tamil Nadu,77.06,Hero,Hf Deluxe,324844.0,2023,497.0,Petrol,36.61,Second,2024.0,Not Available,Dealer,163710.98,Tier 3
Delhi,54.87,Hero,Hf Deluxe,149728.0,2023,644.0,Electric,80.9,First,2023.0,Not Available,Dealer,74701.67,Metro
Karnataka,24.38,Bajaj,Pulsar 150,319080.0,2020,111.0,Hybrid,72.9,Third,2022.0,Expired,Dealer,199482.09,Tier 3
Punjab,76.19,Bajaj,Ct 100,288359.0,2022,194.0,Petrol,59.42,Second,2022.0,Expired,Dealer,123412.86,Tier 1
Tamil Nadu,23.04,Yamaha,Mt-15,92829.0,2017,200.0,Electric,99.77,Second,2021.0,Active,Individual,42934.94,Tier 3
West Bengal,70.83,Tvs,Ronin,150991.0,2020,577.0,Electric,63.73,Third,2024.0,Expired,Individual,75730.39,Tier 1
Gujarat,52.04,Yamaha,Mt-15,280917.0,2016,609.0,Hybrid,79.37,Second,2021.0,Active,Individual,193576.22,Metro
Karnataka,24.32,Royal Enfield,Classic 350,327312.0,2024,123.0,Hybrid,92.78,First,2024.0,Expired,Individual,230889.91,Tier 3
Delhi,75.35,Tvs,Ronin,169295.0,2024,495.0,Hybrid,86.52,Second,2024.0,Active,Dealer,111197.11,Metro
Madhya Pradesh,38.44,Hero,Glamour,110183.0,2020,948.0,Petrol,29.14,Third,2021.0,Expired,Dealer,77592.06,Tier 2
Gujarat,57.25,Tvs,Ntorq 125,195569.0,2021,849.0,Petrol,70.2,Second,2023.0,Active,Dealer,102735.95,Tier 2
Rajasthan,78.97,Yamaha,R15 V4,146648.0,2015,824.0,Hybrid,97.41,Second,2021.0,Not Available,Individual,94594.79,Tier 3
Madhya Pradesh,50.39,Tvs,Jupiter,298601.0,2021,497.0,Electric,70.2,Second,2021.0,Expired,Dealer,162021.7,Tier 1
Punjab,51.75,Ktm,Duke 200,338066.0,2024,859.0,Hybrid,87.06,First,2024.0,Active,Dealer,238810.17,Metro
Uttar Pradesh,73.54,Honda,Dio,283241.0,2019,489.0,Petrol,70.2,Third,2023.0,Not Available,Individual,123017.53,Metro
Rajasthan,68.42,Kawasaki,Ninja 400,203644.0,2022,639.0,Electric,81.17,Second,2022.0,Not Available,Individual,109714.36,Tier 1
Delhi,32.69,Yamaha,Ray Zr,309798.0,2020,270.0,Hybrid,74.4,Third,2023.0,Expired,Dealer,234867.7,Tier 3
Karnataka,41.17,Bajaj,Avenger 220,111375.0,2022,256.0,Petrol,54.78,Third,2023.0,Not Available,Individual,57908.05,Tier 1
West Bengal,48.46,Bajaj,Pulsar 150,377609.0,2023,607.0,Hybrid,74.86,First,2023.0,Not Available,Dealer,199073.49,Tier 3
Karnataka,54.22,Bajaj,Ct 100,340430.0,2022,631.0,Hybrid,89.65,First,2022.0,Not Available,Individual,162159.98,Tier 1
Rajasthan,19.64,Bajaj,Platina 110,238654.0,2021,194.0,Hybrid,71.65,Second,2021.0,Active,Dealer,132667.57,Metro
Punjab,77.04,Hero,Passion Pro,265716.0,2021,438.0,Electric,96.32,Second,2023.0,Not Available,Dealer,152776.0,Tier 3
Rajasthan,61.81,Hero,Hf Deluxe,308713.0,2024,402.0,Electric,96.26,Second,2024.0,Not Available,Individual,229702.91,Tier 2
Madhya Pradesh,44.95,Royal Enfield,Classic 350,321321.0,2020,667.0,Electric,89.5,Third,2023.0,Expired,Individual,227938.71,Tier 1
Punjab,5.22,Ktm,390 Adventure,286670.0,2020,717.0,Electric,74.57,Second,2021.0,Expired,Dealer,170160.5,Tier 3
Maharashtra,13.39,Bajaj,Pulsar 150,278790.0,2017,960.0,Electric,84.35,Second,2023.0,Not Available,Dealer,214469.05,Tier 3
Gujarat,12.14,Yamaha,Fascino 125,390239.0,2021,592.0,Petrol,42.77,First,2021.0,Active,Individual,311322.43,Tier 3
Uttar Pradesh,52.64,Yamaha,Fz V3,327445.0,2022,786.0,Electric,61.54,Third,2024.0,Expired,Individual,196190.94,Tier 1
Rajasthan,77.24,Hero,Glamour,200210.0,2022,254.0,Electric,70.65,First,2022.0,Not Available,Individual,133418.39,Tier 3
Tamil Nadu,12.15,Hero,Passion Pro,178709.0,2019,406.0,Electric,83.0,Second,2021.0,Active,Dealer,126289.57,Tier 3
Maharashtra,43.94,Royal Enfield,Hunter 350,334314.0,2017,440.0,Petrol,47.24,Second,2024.0,Not Available,Individual,192353.34,Tier 2
