State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Karnataka,29.66,KTM,250 Duke,162227,2020,690,Hybrid,76.29,SECOND,2024,  Active  ,Individual,,Metro
Gujarat,20.27,YAMAHA,R15 V4,280899,2021,308,ELECTRIC,88.68,SECOND,2022,Not Available,DEALER,118779.67,Tier 2
maharashtra,21.05,ktm,250 Duke,310277,2022,417,HYBRID,69.05,,2022,EXPIRED,Dealer,,metro
TAMIL NADU,77.06,Hero,HF Deluxe,324844,2023,497,Petrol,36.61,2nd,2024,Not Available,Dealer,163710.98,  Tier 3  
Delhi,54.87,hero,HF Deluxe,149728,2023,644,Electric,80.9,1st,2023,Not Available,DEALER,74701.67,METRO
Karnataka,24.38,Bajaj,Pulsar 150,"₹319,080",2020,111,hybrid,72.9,third owner,2022,Expired,  Dealer  ,199482.09,  Tier 3  
Punjab,76.19,Bajaj,CT 100,288359,2022,194,Petrol,59.42,THIRD,2022,Expired,Dealer,123412.86,  Tier 1  
Tamil Nadu,23.04,  Yamaha  ,MT-15,92829,2017,200,electric,99.77,2nd,2021,  Active  ,Individual,42934.94,Tier 3
West Bengal,70.83,tvs,Ronin,150991,2020,577,Electric,63.73,3rd,2024,,Individual,75730.39,  Tier 1  
Gujarat,52.04,Yamaha,MT-15,280917,2016,609,Hybrid,79.37,2nd,2021,ACTIVE,Individual,193576.22,Metro
Karnataka,24.32,Royal Enfield,Classic 350,327312,2024,123,Hybrid,92.78,first owner,2024,EXPIRED,  Individual  ,230889.91,Tier 3
delhi,75.35,  TVS  ,Ronin,169295,2024,495,Hybrid,86.52,second owner,2024,Active,Dealer,111197.11,  Metro  
  Madhya Pradesh  ,38.44,hero,Glamour,110183,2020,948,Petrol,29.14,3rd,2021,expired,Dealer,77592.06,Tier 2
  Gujarat  ,57.25,Tvs,NTorq 125,195569,2021,849,Petrol,,Third,2023,Active,Dealer,102735.95,Tier 2
Rajasthan,78.97,YAMAHA,R15 V4,"₹146,648",2015,824,  Hybrid  ,97.41,2nd,2021,NOT AVAILABLE,  Individual  ,94594.79,Tier 3
MADHYA PRADESH,50.39,Tvs,Jupiter,298601,2021,497,Electric,,,2021,Expired,Dealer,162021.7,Tier 1
Punjab,51.75,  KTM  ,Duke 200,338066,2024,859,HYBRID,87.06,1st,2024,Active,dealer,238810.17,Metro
  Uttar Pradesh  ,73.54,Honda,Dio,283241,2019,489,Petrol,,3rd,2023,Not Available,Individual,123017.53,Metro
Rajasthan,68.42,kawasaki,Ninja 400,203644,2022,639,Electric,81.17,SECOND,2022,Not Available,individual,109714.36,tier 1
DELHI,32.69,  Yamaha  ,Ray ZR,309798,2020,270,Hybrid,74.4,3rd,2019,Expired,dealer,234867.7,TIER 3
karnataka,41.17,Bajaj,Avenger 220,111375,2022,256,Petrol,54.78,third owner,2023,Not Available,Individual,57908.05,TIER 1
  West Bengal  ,48.46,Bajaj,Pulsar 150,377609,2023,607,hybrid,74.86,1st,2023,Not Available,Dealer,199073.49,Tier 3
  Karnataka  ,54.22,Bajaj,CT 100,340430,2022,631,hybrid,89.65,1st,2022,Not Available,Individual,162159.98,  Tier 1  
Rajasthan,19.64,Bajaj,Platina 110,238654,2021,194,Hybrid,71.65,First,2021,Active,DEALER,132667.57,Metro
PUNJAB,77.04,HERO,Passion Pro,265716,2021,438,Electric,96.32,2nd,2023,  Not Available  ,  Dealer  ,152776.0,tier 3
Rajasthan,61.81,  Hero  ,HF Deluxe,308713,2024,402,ELECTRIC,96.26,THIRD,2024,  Not Available  ,INDIVIDUAL,229702.91,Tier 2
  Madhya Pradesh  ,44.95,Royal Enfield,Classic 350,321321,2020,667,Electric,89.5,third owner,2023,EXPIRED,individual,227938.71,tier 1
Punjab,5.22,KTM,390 Adventure,286670,2020,717,Electric,74.57,Third,2021,EXPIRED,dealer,170160.5,Tier 3
Maharashtra,13.39,Bajaj,Pulsar 150,278790,2017,960,Electric,84.35,2nd,2015,NOT AVAILABLE,  Dealer  ,214469.05,Tier 3
Gujarat,12.14,yamaha,Fascino 125,390239,2021,592,Petrol,42.77,first owner,2021,  Active  ,Individual,311322.43,TIER 3
Uttar Pradesh,52.64,yamaha,FZ V3,327445,2022,786,Electric,61.54,third owner,2024,,Individual,196190.94,tier 1
Rajasthan,77.24,hero,Glamour,200210,2022,254,Electric,70.65,first owner,2022,  Not Available  ,Individual,133418.39,  Tier 3  
Tamil Nadu,12.15,Hero,Passion Pro,178709,2019,406,ELECTRIC,83.0,2nd,2021,ACTIVE,dealer,126289.57,tier 3
MAHARASHTRA,43.94,Royal Enfield,Hunter 350,334314,2017,440,petrol,47.24,second owner,2024,Not Available,Individual,192353.34,TIER 2
Uttar Pradesh,17.33,yamaha,MT-15,147881,2022,118,HYBRID,66.91,First,2022,  Expired  ,Individual,79418.16,  Tier 1  
Uttar Pradesh,31.91,Hero,Splendor Plus,281327,2020,313,Petrol,36.93,Third,2024,Active,Individual,188254.84,Metro
Maharashtra,56.35,  Royal Enfield  ,Himalayan,239013,2024,234,PETROL,36.12,Second,2024,NOT AVAILABLE,  Dealer  ,101833.67,Tier 1
  West Bengal  ,19.72,TVS,Jupiter,236825,2024,276,Petrol,43.46,second owner,2024,Active,Dealer,121040.77,Tier 1
tamil nadu,72.23,Kawasaki,Z650,155574,2024,840,Petrol,49.8,Second,2024,Expired,individual,121376.15,TIER 1
  Gujarat  ,22.57,Honda,Dio,70947,2022,498,HYBRID,62.68,THIRD,2022,Expired,Dealer,48073.78,Tier 3
Delhi,72.1,TVS,Jupiter,396472,2021,942,PETROL,32.86,Third,2024,  Active  ,Dealer,269387.72,Tier 3
GUJARAT,54.54,Yamaha,R15 V4,203588,2021,583,ELECTRIC,,,2024,  Expired  ,Individual,109603.43,Tier 1
gujarat,67.83,KAWASAKI,Vulcan S,206540,2024,469,Hybrid,80.07,Second,2024,not available,Dealer,130554.44,metro
Karnataka,43.95,TVS,Apache RTR 160,144565,2024.0,167,Petrol,29.44,first owner,2024,Expired,Dealer,86786.8,Metro
PUNJAB,45.1,KAWASAKI,Vulcan S,393154,2020,568,petrol,36.22,Third,2024,  Expired  ,Dealer,292425.77,Tier 2
DELHI,34.69,royal enfield,Classic 350,397044,2015,923,Hybrid,68.77,Second,2022,active,Dealer,259274.4,Tier 2
Gujarat,13.16,Royal Enfield,Interceptor 650,336431,2019,354,Hybrid,76.79,Third,2023,Active,Individual,147155.4,Tier 1
  Gujarat  ,74.42,  Honda  ,Activa,211818,2017,416,Hybrid,85.4,third owner,2022,NOT AVAILABLE,Individual,127083.99,Metro
Madhya Pradesh,5.41,Honda,Activa,352157,2016,826,Electric,77.86,second owner,2022,  Expired  ,  Individual  ,,Metro
Tamil Nadu,33.15,KTM,250 Duke,107263,2024,476,Electric,95.53,second owner,2024,  Expired  ,  Individual  ,54706.06,  Tier 3  
punjab,75.43,TVS,Sport,322747,2022,252,Petrol,57.12,Second,2023,active,Dealer,203970.76,  Tier 2  
Tamil Nadu,76.4,Kawasaki,Z650,103570,2021,862,hybrid,85.11,Third,2021,Active,Dealer,43966.51,TIER 3
UTTAR PRADESH,68.37,Yamaha,Fascino 125,151506,2021,497,Petrol,34.12,1st,2021,  Not Available  ,INDIVIDUAL,109657.87,metro
Karnataka,24.14,tvs,Jupiter,145061,2024,353,Petrol,28.08,FIRST,2024,Not Available,INDIVIDUAL,83042.09,Tier 2
West Bengal,9.49,  Hero  ,HF Deluxe,229778,2020,368,Electric,91.29,3rd,2021,Expired,individual,168530.22,tier 2
  Delhi  ,7.61,  Hero  ,HF Deluxe,171260,2021,170,HYBRID,66.03,first owner,2021,active,Individual,103862.2,TIER 3
